participant_id,block,trial,h,v,total,index
551,1,1,2,3,5,0.4
551,1,2,2,0,2,1.0
551,1,3,1,3,4,0.25
551,1,4,4,1,5,0.8
551,1,5,0,4,4,0.0
551,1,6,3,0,3,1.0
551,1,7,1,5,6,0.16666666666666666
551,1,8,4,1,5,0.8
551,1,9,1,6,7,0.14285714285714285
551,1,10,4,1,5,0.8
551,1,11,0,6,6,0.0
551,1,12,4,1,5,0.8
551,1,13,0,5,5,0.0
551,1,14,6,1,7,0.8571428571428571
551,1,15,0,6,6,0.0
551,1,16,4,1,5,0.8
889,1,1,0,4,4,0.0
889,1,2,3,0,3,1.0
889,1,3,0,6,6,0.0
889,1,4,5,1,6,0.8333333333333334
890,1,3,5,0,5,1.0
890,1,4,2,0,2,1.0
891,1,3,2,0,2,1.0
891,1,4,0,3,3,0.0
892,1,2,1,0,1,1.0
892,1,8,0,1,1,0.0
892,1,9,0,1,1,0.0
991,1,1,0,2,2,0.0
991,1,2,0,3,3,0.0
991,1,3,1,4,5,0.2
991,1,4,0,3,3,0.0
991,1,5,1,4,5,0.2
991,1,6,0,2,2,0.0
991,1,7,0,2,2,0.0
991,1,8,1,4,5,0.2
991,1,9,0,4,4,0.0
991,1,10,0,3,3,0.0
991,1,11,1,3,4,0.25
991,1,12,0,6,6,0.0
991,1,13,0,2,2,0.0
991,1,14,1,3,4,0.25
991,1,15,1,4,5,0.2
991,1,16,1,2,3,0.3333333333333333
992,1,1,0,4,4,0.0
992,1,2,1,2,3,0.3333333333333333
992,1,3,0,3,3,0.0
992,1,4,1,0,1,1.0
992,1,5,1,3,4,0.25
992,1,6,1,6,7,0.14285714285714285
992,1,7,0,2,2,0.0
992,1,8,1,4,5,0.2
992,1,9,0,3,3,0.0
992,1,10,2,2,4,0.5
992,1,11,2,4,6,0.3333333333333333
992,1,12,1,2,3,0.3333333333333333
992,1,13,0,1,1,0.0
992,1,14,1,2,3,0.3333333333333333
992,1,15,3,3,6,0.5
992,1,16,2,2,4,0.5
