NaN,A1,A2,A3,B,B1,B2,A2,A2,B2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,AT1,AT1,AT1,A1,B1,A2,AT2,A2,B2,A3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,A2,A3,B1,B3,A3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A1,B1,A2,B2,A3,A3,B3,B1,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,A2,A3,B1,B2,B3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,A1,B1,A2,B2,A3,B3,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,B1,B2,A1,B1,B3,B1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,B1,A2,B2,A3,B3,B1,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,A1,B1,B2,B3,B4,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,B1,A2,B2,A3,B3,A4,A1,B1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,A4,B1,B2,B3,B4,A3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,B1,A2,B2,A3,B3,B4,A4,B2,B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1,A1,A2,A3,A3,B2,B3,B4,A2,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,B1,A2,B2,A3,B3,A4,B4,A1,B1,B2,A2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A2,A1,A2,A3,A4,B2,B3,B3,A2,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,B1,A2,B2,A3,B3,B1,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
